tf	pick	reason	rep_at_pick	n_assign_at_pick	n_assign_strict
ADNP		too few assignments			
AEBP2		too few assignments			
AGO1	50.0		0.8823463865990242	9940.0	643.0
AGO2	300.0	peak below floor	0.4018690569361537	4896.0	2052.0
AHR	50.0		0.7873385963535362	20988.0	954.0
AR	100.0		0.8049444357062844	37873.0	12704.0
ARHGAP35	500.0		0.80373724233914	103.0	103.0
ARID1A	50.0		0.6833997161546829	24996.0	1064.0
ARID1B		too few assignments			
ARID2	50.0		0.8114659953421007	19104.0	1774.0
ARID3A	500.0		1.0	216.0	216.0
ARID3B		too few assignments			
ARID4B	400.0		0.8086036967512608	5946.0	4052.0
ARNT	400.0		0.8171290816380924	3342.0	2614.0
ASCL1	200.0		0.7515622612516918	22904.0	11654.0
ASCL2		too few assignments			
ASH1L	300.0		0.840781416737089	995.0	709.0
ASH2L	50.0		0.7235010401346362	7007.0	220.0
ASXL1	100.0		0.6604765829242231	13381.0	4550.0
ASXL3	400.0		0.9601419204943434	126.0	96.0
ATF1	500.0		0.8897927746521332	4564.0	4564.0
ATF2	50.0		0.7311477524581299	10752.0	1637.0
ATF3	50.0		0.7532690113405286	12385.0	2055.0
ATF4	200.0		0.77315117718592	9424.0	2349.0
ATF6	300.0		0.8858198326426434	246.0	77.0
ATF7	500.0		0.7989979628393192	2652.0	2652.0
ATR		too few assignments			
ATRX	50.0		0.6758018190443165	10893.0	56.0
BACH1	50.0		0.5528497430177632	6392.0	228.0
BACH2	200.0		0.6305380964845702	596.0	172.0
BANF1	300.0		0.7650766241066043	256.0	26.0
BANP	500.0		0.8411633223581041	2018.0	2018.0
BAP1	200.0		0.9413385193577634	1327.0	210.0
BATF	50.0		0.8255617131256222	12026.0	1013.0
BATF3	400.0		1.0	951.0	651.0
BCL11A	50.0		0.569806823126594	2400.0	360.0
BCL11B	100.0		0.7809166604182998	18170.0	6896.0
BCL6	50.0		0.7464857347158302	23447.0	2916.0
BCLAF1	250.0		0.8283095642586132	959.0	467.0
BCOR	500.0		0.7698606679225456	14060.0	14060.0
BHLHE40	500.0		0.7024742389788564	5994.0	5994.0
BMAL1	500.0		0.8431370411501673	3398.0	3398.0
BMI1	500.0		0.7702764976958525	4642.0	4642.0
BPTF		too few assignments			
BRCA1	100.0		0.633367291894188	11401.0	2905.0
BRCA2	200.0	peak below floor	0.3091834859977428	810.0	453.0
BRD4	200.0		0.750553337474184	44597.0	20340.0
BRD7	50.0		0.6494789335008999	18922.0	214.0
BRF1	500.0		0.9332724894283715	45.0	45.0
BRF2		too few assignments			
C17orf49		too few assignments			
CAMTA2		too few assignments			
CARM1	100.0		0.744539507844386	2122.0	28.0
CASZ1		too few assignments			
CBFB	50.0		0.6958880030623048	16036.0	2838.0
CBX1	50.0		0.7980973775635201	4335.0	64.0
CBX2	50.0		0.7482831751161382	748.0	20.0
CBX4		too few assignments			
CCNT1	500.0		0.789398791832314	38.0	38.0
CDC45		too few assignments			
CDK9	200.0		0.8094224581413045	23377.0	13187.0
CDT1		too few assignments			
CDX2	500.0		0.7498814063383751	52.0	52.0
CEBPA	300.0		0.7926937643044137	8336.0	5538.0
CEBPB	200.0		0.7964764878060108	13884.0	5931.0
CEBPD	400.0		0.9336931306558981	2578.0	1946.0
CEBPG	250.0		0.8479478594037955	2090.0	973.0
CHD1	300.0		0.8044350831936279	2678.0	942.0
CHD2	500.0		0.8933223170981857	4173.0	4173.0
CHD4	150.0		0.6187083527476661	1166.0	57.0
CHD6	400.0		0.9104137940048228	1198.0	931.0
CHD7	50.0	peak below floor	0.19030368040560852	10802.0	372.0
CHD8	400.0		0.7117286879538165	3345.0	2197.0
CIITA	500.0	peak below floor	0.0	48.0	48.0
CLOCK	150.0	peak below floor	0.4923203677924896	1351.0	282.0
CPSF4	300.0		0.8131949405415865	324.0	46.0
CREB1	500.0		0.9306515698247383	11457.0	11457.0
CREB3		too few assignments			
CREB5	400.0		0.7498426109250829	69.0	49.0
CREBBP	150.0		0.7998698314239254	20929.0	2876.0
CREM	50.0		0.8474758933414704	7418.0	3159.0
CTCF	500.0		0.8113830244402023	35276.0	35276.0
CTCFL	50.0		0.8752077390837227	10658.0	3454.0
CUX1	500.0		0.9544529373776044	735.0	735.0
CXXC1	50.0		0.5234852184987441	16007.0	4394.0
CXXC5	300.0		0.9367221533046765	7720.0	3897.0
DDIT3	50.0		0.7129309741493739	13323.0	1137.0
DDX11		too few assignments			
DDX20	500.0		0.9080513474044286	723.0	723.0
DEAF1		too few assignments			
DEK		too few assignments			
DLX5	50.0	peak below floor	0.19460987477341357	3736.0	143.0
DLX6	500.0		0.6424137058551943	136.0	136.0
DMC1	150.0	peak below floor	0.4670751718564209	3413.0	34.0
DNMT1		too few assignments			
DNMT3A	150.0		0.729036867218993	270.0	61.0
DNMT3B	250.0	peak below floor	0.3307397745129449	425.0	83.0
DOT1L	500.0		0.6950209710941626	557.0	557.0
DPF1		too few assignments			
DUX4	150.0		0.8992124102818597	857.0	322.0
E2F1	100.0		0.7754760603445068	27463.0	14515.0
E2F3	300.0		0.9300778929849388	3693.0	1180.0
E2F4	500.0		0.8786564536409659	4905.0	4905.0
E2F5	300.0		0.821492097538007	1424.0	593.0
E2F6	150.0		0.6549794535086443	9950.0	3273.0
E2F7	500.0		0.9198304062574243	50.0	50.0
E2F8	500.0		0.8967306109179577	749.0	749.0
E4F1	500.0		0.9250781576798722	1256.0	1256.0
EBF1	50.0		0.768435993632082	19079.0	5878.0
EBF3	500.0		0.7392093554148744	1260.0	1260.0
EGR1	200.0		0.8655399907519901	18925.0	8809.0
EGR2		too few assignments			
EHF	500.0		1.0	308.0	308.0
EHMT2	400.0		0.7972733028677718	372.0	275.0
ELF1	400.0		0.7881597885241822	10529.0	9172.0
ELF2	500.0		0.935882570060292	492.0	492.0
ELF3	50.0		0.7647314820541223	13568.0	1191.0
ELF4	500.0		0.7615973218555715	1550.0	1550.0
ELK1	200.0		0.8662207551679828	3356.0	1096.0
ELK4	200.0		0.6754568507692044	2047.0	476.0
ELL2	500.0		0.7368402837350181	397.0	397.0
EN1		too few assignments			
EOMES	150.0	peak below floor	0.2854814493672603	2963.0	375.0
EP300	100.0		0.7033323643058024	44740.0	14191.0
EP400	500.0		0.8286361024480812	1618.0	1618.0
EPAS1	500.0		0.8277266997606858	206.0	206.0
