tf	score	n_a	n_b	n_shared	expected	replication_raw	replication
FOXA1	500	9744	12285	6720	1091.5021427920124	0.6183318597111701	0.6505055476574492
ETV6	500	10166	11484	9048	1064.5239719157473	0.8389521816631791	0.8771627814488322
GATA1	500	8371	6095	4854	465.22517552657973	0.688124760577677	0.779564895809829
POLR2C	500	12471	15904	12075	1808.5053706574267	0.8637446446177668	0.9628604736728091
ZIC5	500	215	440	196	0.8625877632898696	0.6785412262156448	0.911271926743015
ATF3	500	2055	4060	1344	76.07641105133582	0.49252454064938334	0.6407137678429866
BRD4	500	20340	21241	15799	3939.4724172517554	0.7602713512026171	0.7231186632814978
IKZF1	500	4021	4399	1833	161.28730737667547	0.4362711812088603	0.4331184276535138
JUN	500	17440	14511	12830	2307.5758183641833	0.8099109920724487	0.8622517766341652
EBF1	500	5878	6780	4463	363.3887115893134	0.7087657240989601	0.7434089320177989
MECOM	500	10523	7179	6519	688.8357527126835	0.7637826663414019	0.8983076583499625
SMARCA5	500	195	20	16	0.03556122914197137	0.44102564102564107	0.7996437542817996
BCOR	500	14060	16430	11309	2106.3718428011307	0.7463263043611892	0.7698606679225456
RAD21	500	14215	12492	9546	1619.1645846630802	0.7178566058570134	0.7290495176773802
TBX21	500	239	3332	209	7.261311206346312	0.4686010387418566	0.8705438433428231
PGR	500	3412	4717	2212	146.75302270447708	0.5586211207323987	0.6324933432772325
KDM2B	500	11308	5562	4425	573.4940822467403	0.5934465065448028	0.7720760446622692
RBPJ	500	4840	4366	3451	192.68204613841525	0.7517212740825991	0.7807499907469672
CTCF	500	35276	30919	26963	9945.278052338836	0.8181984065068665	0.8113830244402023
EP300	500	14191	15694	8104	2030.7609555940548	0.5437209268368103	0.49943418235678577
ZFX	500	9354	7716	6583	658.1149265979758	0.7784626781200881	0.8394703245778591
RUNX1	500	15926	13110	10945	1903.8010394820826	0.7610499379615466	0.806803358781349
YY1	500	9848	10443	8077	937.7465487371204	0.7968016415833024	0.8012402217639512
NPM1	500	9915	2049	1358	185.24514452448253	0.39986325937378403	0.6292430852856458
RAD51	500	1202	1218	981	13.34946658156287	0.8107792431333656	0.8140748741647164
TBP	500	8438	5778	4449	444.5588036837786	0.6486236298877377	0.7508175395431503
ATF7	500	2652	1244	1000	30.08195495577642	0.5904662136929963	0.7989979628393192
MED1	500	8349	13927	6759	1060.2400200601805	0.6474371614981985	0.7818558980710011
ASCL1	500	11654	12333	8550	1310.5569617944743	0.7134578305965189	0.6999065022609231
ZBTB40	500	3259	3949	3006	117.35015045135407	0.8417870966202947	0.9194690649448576
NR2F1	500	2094	706	655	13.480113066472144	0.6202802557421583	0.9263559054948912
STAT3	500	7244	4886	4477	322.73350961976837	0.7671600791813706	0.9103712218293172
ZNF382	500	176	0	0	0.0	0.0	0.0
NCOA2	500	220	239	201	0.4794383149448345	0.8773202738683911	0.9134477433268452
FOXO1	500	3404	867	488	26.910440412145526	0.35311059517468424	0.5488576239586451
HNF4A	500	3170	3248	2141	93.88310385702562	0.6672845993069261	0.6654873547587792
E2F1	500	14515	11409	8801	1509.9994073128476	0.6888734039371049	0.7365390601222259
EHF	500	308	5	5	0.014042126379137413	0.5081168831168831	1.0
NR2C2	500	4580	2756	2546	115.09510349229507	0.739848904494204	0.9204818014167413
HDAC1	500	7611	12116	6434	840.8395732652504	0.6881943754931688	0.8261488759775716
MCM7	500	690	440	310	2.768304914744233	0.5769104084321476	0.7026748027160947
NEUROD1	500	8450	2635	1975	203.02498404303822	0.4916267136745899	0.7286156331090862
MYCN	500	12006	12345	9507	1351.4550013677397	0.7809817144890495	0.7654522083936198
ELF1	500	9172	10594	7377	886.0049968086076	0.7503166160341728	0.7833694083440013
NFE2L2	500	2078	347	172	6.574870064739674	0.2892245647416464	0.48593689298648346
MAX	500	19043	16658	13842	2892.4801130664723	0.778916681898554	0.7954309010389795
MYOD1	500	3770	4106	3178	141.1472599617033	0.8084800531279193	0.8368630411842636
FOXL2	500	2130	2055	1331	39.91200875353333	0.6362855967924335	0.6407104785770881
MAFF	500	450	492	207	2.018783623598067	0.4403658536585366	0.45756654271006975
NRF1	500	8374	9647	7380	736.60962888666	0.8231519621378387	0.8698508323262387
MCM2	500	263	707	135	1.6954591045864866	0.3521278254930327	0.5101501123502034
MITF	500	6781	8330	5751	515.0517917388529	0.7692505788630155	0.8356194520340867
TET1	500	3914	64	15	2.2840886295249385	0.11910369826264691	0.20603943275086048
REL	500	765	245	139	1.708990608188201	0.3745231425903695	0.5643077799505092
ZBTB7A	500	7576	4303	3259	297.25109875079784	0.5937764037565206	0.7393745774543117
USF2	500	3631	2224	2030	73.63311753442144	0.7359222096297073	0.9097828367885006
MED12	500	9735	12955	8900	1149.96740220662	0.8006102273743195	0.9027377018679438
NONO	500	7340	3189	2941	213.43357344761557	0.6614569368648873	0.9166545240640643
SNAI2	500	4488	3206	2849	131.19839518555668	0.7617251048891172	0.8838949480704645
ZFY	500	7145	3389	2897	220.79333454910184	0.6301413972385446	0.8447071002768758
E2F6	500	3273	6812	2100	203.2978572079876	0.4749463528264404	0.6178782352697219
E2F4	500	4905	3399	3005	152.02056168505516	0.7483618585426727	0.8786564536409659
ZNF384	500	3497	2569	1160	81.91659524026625	0.3916252300114217	0.4334729598116886
USF1	500	4251	4882	3704	189.2348135315036	0.8150149214234095	0.8653294873316915
ESR1	500	20569	17446	14062	3272.0595787362086	0.7448400943406559	0.7612519948987995
ATF2	500	1637	3894	1035	58.12417251755266	0.44902382595092494	0.6187160576396293
POU2AF1	500	1284	1141	1113	13.358657791556487	0.9211412763029643	0.9751694098540561
IKZF2	500	6010	596	396	32.661256496763016	0.36515985661481426	0.64497382382
HOXB13	500	1446	4186	914	55.19245007750524	0.4252176952880543	0.6174884152522421
AR	500	12704	12272	8780	1421.5691437950213	0.7032853556169314	0.6781694619985483
TCF12	500	5989	2235	416	122.0517461475335	0.1277952159122448	0.13911758289230258
BMAL1	500	3398	2921	2477	90.50385702562232	0.7884777359620487	0.8431370411501673
GABPA	500	9345	7350	6895	626.294793471323	0.8379614767255217	0.9323289784391204
GMEB1	500	4592	2616	2394	109.5347132306009	0.7182395390467666	0.9114290546245157
CTCFL	500	3454	9559	3011	301.0557673019057	0.5933670073156121	0.8594964048504886
SIX5	500	2261	2151	1825	44.34586486732926	0.8278037780479586	0.8452522440379281
NR3C1	500	5470	7403	3751	369.23871614844535	0.5962134403242324	0.662991482184794
ZNF217	500	1959	35	27	0.6251937631075043	0.3926055567709473	0.7672714154410546
ZNF629	500	1379	1958	1120	24.620060180541625	0.6920974992611335	0.808768579343751
SPI1	500	12504	7803	7302	889.6572626971824	0.7598835270060755	0.9275314389815048
RUNX2	500	7022	1337	1205	85.60603629069026	0.5364375175615391	0.8945176308756251
KMT2A	500	9946	16008	8577	1451.76956323516	0.699075664510395	0.8388317799721238
RBL2	500	902	919	796	7.558475426278837	0.8743211193116975	0.8814902963606054
REST	500	3849	4928	2511	172.95406218655967	0.5809572892520574	0.6360219587473763
XRCC4	500	405	474	373	1.7504331175344214	0.8539537427723082	0.9206446760813831
ZNF76	500	1193	1985	936	21.59300629160208	0.6280566106654899	0.7806057148537259
ARID2	500	1774	2181	1228	35.27942007841707	0.6276327222858891	0.6859759950476776
SMC1A	500	10934	6645	5656	662.5005015045135	0.6842259109069906	0.8346844825898072
SMAD1	500	1284	493	304	5.77197045682502	0.42669649232557993	0.6120912826439677
MYC	500	18189	19697	15162	3266.7888483632714	0.8016713141417228	0.7971480252329772
ERG	500	12328	23454	11295	2636.463134859123	0.6988939877176565	0.8934121580122593
TWIST1	500	1612	3261	1095	47.932269535880366	0.5075334827797955	0.6694516548547511
ARID4B	500	4052	626	494	23.12895048782712	0.4555262419221053	0.7810477048005359
RUNX1T1	500	2929	2245	1642	59.95810157745965	0.6460020028575317	0.7240327517585237
STAT1	500	7965	11447	5429	831.360946475791	0.5779398829870199	0.6445012172648197
KMT2B	500	6190	6673	4729	376.63782255858484	0.7363254544693043	0.7486824396268705
FLI1	500	12711	12530	9605	1452.2552202060729	0.7611024862805862	0.7359570871017656
SOX9	500	791	29	26	0.20916385520196953	0.46471075461005273	0.895800178052764
MYB	500	6692	5574	4804	340.12225768213733	0.7898653577117395	0.8528815463582076
SMARCA2	500	602	68	48	0.37326525029634355	0.39280828610513974	0.7042589728156639
KLF10	500	902	3371	466	27.725376128385154	0.3274338116752975	0.5013008634870025
PRDM4	500	189	15	9	0.02585027810704842	0.32380952380952377	0.5993094692229702
ARNT	500	2614	7600	2146	181.14707759642565	0.5516662304192003	0.8076332540737268
MAFB	500	3564	5860	2865	190.43530591775325	0.6463899518507027	0.7928007720657755
UBTF	500	728	4566	452	30.309546822285036	0.3599358372682946	0.6044090918215594
STAT5B	500	408	551	297	2.04985866690982	0.6334805700864738	0.7265674064418608
E2F3	500	1180	52	46	0.5594966718336829	0.46179921773142113	0.8833603947900196
BHLHE40	500	5994	4302	3092	235.12526670921858	0.6172923271946982	0.7024742389788564
CEBPA	500	5538	5014	3980	253.1916841433391	0.7562242117880695	0.7828099912033654
SMARCA4	500	4434	4191	1973	169.44373119358073	0.45787069010887105	0.4484722202685248
ATF1	500	4564	6320	4090	263.0115801951309	0.7716478161506118	0.8897927746521332
TCF3	500	2638	6933	639	166.76624418710676	0.16719842701074633	0.19109230549400438
GATA3	500	3987	3321	2073	120.73335460928239	0.5720746898966356	0.6100324946993182
THAP11	500	4905	5019	4458	224.47519832223944	0.8985466237471919	0.9044978888179868
EGR1	500	8809	13833	7485	1111.1051062277743	0.6953982735712295	0.8280049262466358
SMARCE1	500	94	139	12	0.11913923588948665	0.10699525485994182	0.12655253336420644
SMARCC1	500	4081	1952	1063	72.637111334002	0.40252252290703416	0.5269673540105783
BCL6	500	2916	2285	1313	60.755539345308655	0.5124457081280973	0.562997675303236
TFAP4	500	4194	7032	3674	268.91773502325157	0.6992410334282194	0.8675187002728768
TP53	500	3717	1631	1013	55.27880915473694	0.44681148325579834	0.6077986362114692
DDX20	500	723	790	657	5.208078781799945	0.8701796312831556	0.9080513474044286
HEY1	500	9643	6732	5305	591.9273821464393	0.6690836650354679	0.7675923252355851
BMI1	500	4642	1000	780	42.326980942828484	0.47401551055579494	0.7702764976958525
SP1	500	8901	10351	7193	840.1044132397192	0.7515100763124454	0.788112873859162
TAF1	500	13560	10593	8678	1309.7572718154463	0.7295953706279569	0.7937143241783466
RUVBL2	500	5557	6012	4542	304.62919668095196	0.7864182558043891	0.8067539330318021
KLF5	500	4433	2428	1709	98.14282848545636	0.544694603637315	0.6913973917411392
TFAP2A	500	9770	9938	7506	885.3310841615756	0.7617764840063665	0.7451790245144602
CDK9	500	13187	12724	10475	1529.966153004468	0.8087951599756718	0.7990894050580677
MBD6	500	294	0	0	0.0	0.0	0.0
ONECUT1	500	1275	1047	893	12.172198413422084	0.7766526209337603	0.8511829699937612
GTF2B	500	1990	492	410	8.927509802133674	0.5196817420435511	0.8302532194155523
CREB1	500	11457	15256	10773	1593.7630345582202	0.8232234540459736	0.9306515698247383
JUNB	500	1155	885	582	9.320461384152457	0.5807616112700857	0.6539830078947142
PKNOX1	500	2736	3683	2574	91.88190024619313	0.8198381253840548	0.938731934850004
ZBTB26	500	11216	82	71	8.386176711954043	0.4360919505236422	0.8505715433776924
FOXP1	500	7920	280	227	20.220661985957875	0.4196879509379509	0.795980694980695
BRCA1	500	2905	3147	1673	83.3594875535698	0.5537605139337138	0.5633745707273581
